show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s596,Movie,The Doorman,,,,"June 18, 2021",2020,R,97 min,"Action, Thriller","A former Marine turned doorman (Ruby Rose, JOHN WICK: CHAPTER 2) must call upon all her lethal fighting skills to protect her sister's family and stop a group of vicious art thieves at a New York City high-rise."
s597,TV Show,The Hustler,,,,"June 18, 2021",2021,TV-PG,1 Season,"Game Shows, Reality","Follow five contestants as they collaborate to answer a series of trivia questions worth $10,000 each, with the goal of building a collective prize pot that increases with each correct answer. The catch? One of the five contestants, already knows the answers but must keep their identity a secret in order to have a shot at winning the grand prize."
s598,TV Show,ABC Nightline,,,United States,"June 17, 2021",1980,TV-14,3 Seasons,News,"Nightline, television's most esteemed late-night news program provides viewers with in-depth reporting on the major stories in the news."
s599,TV Show,DAVE,,,United States,"June 17, 2021",2020,TV-MA,2 Seasons,"Comedy, Sitcom","""DAVE"" centers on a neurotic man in his late 20s who has convinced himself that he's destined to be one of the best rappers of all time. Now he must convince his closest friends, because with their help, he actually might convince the world. Simultaneously exasperating and inspiring to his friends, he vows to leave no stone unturned on his quest to become the next superstar. The half-hour comedy is based on the life of rapper and comedian Dave Burd, better known by his stage name Lil Dicky."
s600,TV Show,Jóvenes y Rebeldes,,,,"June 17, 2021",1999,,1 Season,"Comedy, Latino","Esta comedia dramática nostálgica producida por el ganador del Emmy, Judd Apatow, y el creador de series, Paul Feig, trata sobre la experiencia universal de la adolescencia vivida por los fenómenos y nerds de una secundaria de Michigan cercade 1980."
s601,Movie,Phobias,,,,"June 17, 2021",2021,R,86 min,"Horror, Thriller","Five dangerous patients, suffering from extreme phobias at a government testing facility, are put to the ultimate test under the supervision of a crazed doctor and his quest to weaponize fear."
s602,TV Show,Accused: Guilty or Innocent?,,,,"June 15, 2021",2020,TV-14,1 Season,"Crime, Documentaries, Drama","A man shoots his wife, and it's all caught on camera. Was this a cold-blooded murder or a justified act of self-defense?"
s603,TV Show,Alone,,,United States,"June 15, 2021",2015,TV-14,7 Seasons,"Action, Adventure, Documentaries","In Alone, ten men are left in solitude, and separated from each other, in the harsh Vancouver Island wilderness. With no camera crews or producers, they have to survive using only what they can stuff into a backpack. They will hunt, build shelters and fend off predators as they face extreme isolation, psychological distress and the terrifying plunge into the unknown."
s604,TV Show,Alone: The Beast,,,,"June 15, 2021",2020,TV-PG,1 Season,"Action, Adventure, Reality","Three strangers attempt to endure 30 days in a remote wilderness location with no tools or modern amenities; faced with extreme challenges, it'll take all their ingenuity and stamina to work together as a team and survive."
s605,TV Show,America: Our Defining Hours,,,,"June 15, 2021",2020,TV-14,1 Season,"Documentaries, Drama, History","From the Mayflower to the Civil War to the tragedy on September 11, America: Our Greatest Hours draws upon 300+ years of US history to tell the emotional tale of how the US seized moments of crisis to create a better tomorrow."
